Suburb,Location
Abbotsford,"Hoddle Street at the intersection of Hoddle Street and Victoria Street, Abbotsford"
Altona North,"Blackshaws Road at the intersection of Blackshaws Road and Millers Road, Altona North"
Armadale,"Kooyong Road at the intersection of Kooyong Road and Dandenong Road, Armadale"
Armadale,"Kooyong Road at the intersection of Kooyong Road and Malvern Road, Armadale"
Aspendale Gardens,"Wells Road at the intersection of Wells Road and Palm Grove Boulevard, Aspendale Gardens"
Aspendale Gardens,"Wells Road at the intersection of Wells Road and Nurten Parade, Aspendale Gardens"
St Kilda East,"Hotham Street at the intersection of Hotham Street and Balaclava Road, St Kilda East"
Balwyn,"Whitehorse Road at the intersection of Whitehorse Road and Burke Road, Balwyn"
Balwyn,"Balwyn Road at the intersection of Balwyn Road and Whitehorse Road, Balwyn"
Balwyn North,"Doncaster Road at the intersection of Doncaster Road and Gardenia Road, Balwyn North"
Bayswater,"Bayswater Road at the intersection of Bayswater Road and Mountain Highway, Bayswater"
Bayswater,"Scoresby Road at the intersection of Scoresby Road and Mountain Highway, Bayswater"
Bayswater North,"Canterbury Road at the intersection of Canterbury Road and Bayswater Road, Bayswater North"
Bayswater North,"Dorset Road at the intersection of Dorset Road and Canterbury Road, Bayswater North"
Belmont,"Settlement Road at the intersection of Settlement Road and Torquay Road, Belmont"
Bendigo,"High Street at the intersection of High Street and Don Street, Bendigo"
Bendigo,"Myrtle Street at the intersection of Myrtle Street and High Street, Bendigo"
Bentleigh East,"Centre Road at the intersection of Centre Road and Warrigal Road, Bentleigh East"
Blackburn,"Whitehorse Road at the intersection of Whitehorse Road and Surrey Road, Blackburn"
Box Hill,"Elgar Road at the intersection of Elgar Road and Arnold Street, Box Hill"
Box Hill,"Whitehorse Road at the intersection of Whitehorse Road and Elgar Road, Box Hill"
Box Hill,"Station Street at the intersection of Station Street and Thames Street, Box Hill"
Box Hill,"Canterbury Road at the intersection of Canterbury Road and Station Street, Box Hill"
Box Hill North,"Middleborough Road at the intersection of Middleborough Road and Eastern Freeway, Box Hill North"
Braeside,"Springvale Road at the intersection of Springvale Road and Lower Dandenong Road, Braeside"
Braybrook,"Duke Street at the intersection of Duke Street and Ballarat Road, Braybrook"
Brighton,"Bay Street at the intersection of Bay Street and St Kilda Street, Brighton"
Brighton East,"Thomas Street at the intersection of Thomas Street and North Road, Brighton East"
Brighton East,"Nepean Highway at the intersection of Nepean Highway and Centre Road, Brighton East"
Brunswick,"Nicholson Street at the intersection of Nicholson Street and Glenlyon Road, Brunswick"
Brunswick West,"Melville Road at the intersection of Melville Road and Albion Street, Brunswick West"
Burwood,"Warrigal Road at the intersection of Warrigal Road and Highbury Road, Burwood"
Burwood East,"Burwood Highway at the intersection of Burwood Highway and Blackburn Road, Burwood East"
Camberwell,"Glen Iris Road at the intersection of Glen Iris Road and Toorak Road, Camberwell"
Camberwell,"Prospect Hill Road at the intersection of Prospect Hill Road and Burke Road, Camberwell"
Camberwell,"Seymour Grove at the intersection of Seymour Grove and Camberwell Road, Camberwell"
Camberwell,"Toorak Road at the intersection of Toorak Road and Burke Road, Camberwell"
Campbellfield,"Sydney Road at the intersection of Sydney Road and Barry Road, Campbellfield"
Campbellfield,"Hume Highway at the intersection of Hume Highway and Somerton Road, Campbellfield"
Carlton,"Victoria Parade at the intersection of Victoria Parade and Nicholson Street, Carlton"
Carlton,"Victoria Street at the intersection of Victoria Street and Swanston Street, Carlton"
Carlton,"Princes Street at the intersection of Princes Street and Rathdowne Street, Carlton"
Carlton,"Nicholson Street at the intersection of Nicholson Street and Princes Street, Carlton"
Carlton,"Nicholson Street at the intersection of Nicholson Street and Elgin Street, Carlton"
Carrum Downs,"Hall Road at the intersection of Hall Road and Dandenong-Frankston Road, Carrum Downs"
Caulfield,"Glen Eira Road at the intersection of Glen Eira Road and Kooyong Road, Caulfield"
Caulfield North,"Dandenong Road at the intersection of Dandenong Road and Orrong Road, Caulfield North"
Caulfield North,"Hawthorn Road at the intersection of Hawthorn Road and Inkerman Road, Caulfield North"
Caulfield North,"Balaclava Road at the intersection of Balaclava Road and Kooyong Road, Caulfield North"
Caulfield North,"Glen Eira Road at the intersection of Glen Eira Road and Kooyong Road, Caulfield North"
Chadstone,"Warrigal Road at the intersection of Warrigal Road and Batesford Road, Chadstone"
Chadstone,"Warrigal Road at the intersection of Warrigal Road and Batesford Road, Chadstone"
Cheltenham,"Park Road at the intersection of Park Road and Charman Road, Cheltenham"
